case,x,v_x_0
h=0,0.23600000000000002,0.21117903845866293
h=0,0.2364,0.21150790137895478
h=0,0.2368,0.21183661740167364
h=0,0.23720000000000002,0.21216518632512124
h=0,0.2376,0.2124936079476892
h=0,0.23800000000000002,0.2128218820678619
h=0,0.2384,0.21315000848421498
h=0,0.2388,0.2134779869954166
h=0,0.23920000000000002,0.21380581740022842
h=0,0.2396,0.21413349949750346
h=0,0.24000000000000002,0.21446103308619
h=0,0.2404,0.2147884179653285
h=0,0.24080000000000001,0.21511565393405438
h=0,0.2412,0.21544274079159714
h=0,0.2416,0.21576967833728197
h=0,0.24200000000000002,0.21609646637052737
h=0,0.2424,0.2164231046908492
h=0,0.24280000000000002,0.2167495930978583
h=0,0.2432,0.21707593139126174
h=0,0.2436,0.21740211937086382
h=0,0.24400000000000002,0.2177281568365642
h=0,0.2444,0.2180540435883621
h=0,0.24480000000000002,0.2183797794263516
h=0,0.2452,0.21870536415072728
h=0,0.2456,0.21903079756178043
h=0,0.24600000000000002,0.21935607945990182
h=0,0.2464,0.21968120964558072
h=0,0.24680000000000002,0.22000618791940588
h=0,0.2472,0.2203310140820662
h=0,0.24760000000000001,0.2206556879343504
h=0,0.248,0.22098020927714718
h=0,0.2484,0.2213045779114466
h=0,0.24880000000000002,0.22162879363833954
h=0,0.2492,0.22195285625901867
h=0,0.24960000000000002,0.22227676557477793
h=0,0.25,0.22260052138701325
h=0,0.2504,0.22292412349722476
h=0,0.2508,0.2232475717070133
h=0,0.25120000000000003,0.2235708658180843
h=0,0.2516,0.22389400563224574
h=0,0.252,0.22421699095141073
h=0,0.2524,0.22453982157759594
h=0,0.2528,0.22486249731292196
h=0,0.25320000000000004,0.22518501795961596
h=0,0.2536,0.22550738332000927
h=0,0.254,0.22582959319653925
h=0,0.2544,0.226151647391749
h=0,0.2548,0.22647354570828795
h=0,0.25520000000000004,0.22679528794891254
h=0,0.2556,0.2271168739164862
h=0,0.256,0.2274383034139794
h=0,0.2564,0.22775957624447088
h=0,0.25680000000000003,0.22808069221114716
h=0,0.25720000000000004,0.22840165111730315
h=0,0.2576,0.22872245276634276
h=0,0.258,0.22904309696177885
h=0,0.2584,0.22936358350723357
h=0,0.25880000000000003,0.22968391220643933
h=0,0.2592,0.23000408286323842
h=0,0.2596,0.23032409528158346
h=0,0.26,0.23064394926553858
h=0,0.2604,0.23096364461927857
h=0,0.26080000000000003,0.23128318114708965
h=0,0.2612,0.23160255865337026
h=0,0.2616,0.23192177694263108
h=0,0.262,0.23224083581949498
h=0,0.2624,0.23255973508869893
h=0,0.26280000000000003,0.2328784745550914
h=0,0.2632,0.2331970540236355
h=0,0.2636,0.2335154732994087
h=0,0.264,0.23383373218760167
h=0,0.2644,0.2341518304935204
h=0,0.26480000000000004,0.23446976802258612
h=0,0.2652,0.23478754458033438
h=0,0.2656,0.235105159972418
h=0,0.266,0.23542261400460443
h=0,0.2664,0.23573990648277762
h=0,0.26680000000000004,0.23605703721293914
h=0,0.2672,0.23637400600120673
h=0,0.2676,0.23669081265381564
h=0,0.268,0.23700745697711945
h=0,0.2684,0.23732393877758887
h=0,0.26880000000000004,0.23764025786181442
h=0,0.2692,0.23795641403650383
h=0,0.2696,0.23827240710848444
h=0,0.27,0.23858823688470385
h=0,0.27040000000000003,0.23890390317222848
h=0,0.27080000000000004,0.2392194057782455
h=0,0.2712,0.23953474451006138
h=0,0.2716,0.2398499191751053
h=0,0.272,0.2401649295809259
h=0,0.27240000000000003,0.24047977553519384
h=0,0.2728,0.24079445684570255
